588,450,129,1287,1364,761	0
1551,1503,2230,186,395,2314,1161,11,9,1287,1364,1486,1896,433,434,741,391,1337,48,268,67,741,1063,1019,203,741,1411,815,203,741,714,1402,203,741,1312,2523,2522,197,62,203,741,829,386,741,2170,273,1312,741,889,1400,386	0
756,392,1604,570,1604,2427,741,210,184,1324,741,1267,2434,684,1820,1061,1285,1575,1285,288,741,302,1606,1606,741,1331,1332,1450,741,386,488,741,186,271,741,1976,408,741,1976,397,741,986,869,741,548,386,612,741,263,1605,1265,253	0
302,466,2230,223,473,223,224,492,222,40,0,741,1065,554,2230,160,222,224,473,160,40,222,223,224,33,326	0
651,133	0
946,737,737	0
737,737,737	0
612,1277	0
1126,2	0
1744,1693,1577,840	0
1744,1693,1577,840	0
1497,1577,68	0
610	0
1523,612,741,1302,612,118,62,1187,1261,587,1065,612,741,1291,622,230,1569,741,2306,2307,741,1740,741,119,1291,1065,2188	0
1635,1538,846,651,635	0
1065,554,741,160,222,223,40,40,492,33,222,222,222,33,160,33,40,33,326,326,160,40,33,224,222,741,33,40,223,473,326,223,224,33,741,33,223,33,33,326,33,224,326	0
1302,612	0
1523,612	0
1523,612,1302,612	0
1501,1502,160,33,40,33,326,326,160,40,33,224,222	0
1345,1147,160,222,223,40,40,492,33,222,222,222,33	0
59,907,741,911,808,465,11,885,696,3,741,71,2383,2230,465	0
742,1153,1155,37,737,1153	0
357,704,357,205,72,2173,391,512	0
17,156	0
348,828,741,833,834,828,741,1550,632,2261,403,741,831,397,720,741,59,907,741,911,808	0
17,156,194,793	0
838,1551,79,129	0
465,11,885,696,3,741,71,2383,2230,465,11,885,160,326,237	0
142,485,793,1274,1	0
1251,52,1483,53,1630,248,1251,250,53,1251,641,52,51,614,1772	0
62,123,208,134,135,718,1242,396,352,296,1368,2230,41	0
1251,614,1154,250,1251,250,579,250,53,741,51,249,641,579,250,51,52,641,250,1251,51,614,946	0
946,50,1251,614,53,1154,53,741,641,946,641,1772,53,52,1642,741,51,249,1154,946,1251,53,614,946,53,1154	0
